flight,sol,date,recording_seconds,sample_rate_hz,channels,pds_version,pds_wav,pds_label_xml,preview_mp3,spectrogram,observed_signature,sync_status
4,69,2021-04-30,167,25000,1,p02,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_supercam/data_calibrated_audio/sol_00069/ascam_sol0069_0673066208_290_ca2_scam07069_heli_________________01p02.wav,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_supercam/data_calibrated_audio/sol_00069/ascam_sol0069_0673066208_290_ca2_scam07069_heli_________________01p02.xml,assets/audio/flight4-audible.mp3,assets/spectrograms/flight4-0-250hz.png,"84 y 168 Hz; vuelo completo y parada del rotor","requiere corregir desfase de relojes antes de alinear con imágenes"
5,76,2021-05-07,167,25000,1,p02,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_supercam/data_calibrated_audio/sol_00076/ascam_sol0076_0673687636_279_ca2_scam01076_heli_________________01p02.wav,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_supercam/data_calibrated_audio/sol_00076/ascam_sol0076_0673687636_279_ca2_scam01076_heli_________________01p02.xml,assets/audio/flight5-audible.mp3,assets/spectrograms/flight5-0-250hz.png,"84 Hz continuo; 168 Hz débil; mínimos abruptos","requiere corregir desfase de relojes antes de alinear con imágenes"
6,91,2021-05-22,167,25000,1,p02,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_supercam/data_calibrated_audio/sol_00091/ascam_sol0091_0675019254_277_ca2_scam05091_heli_91_scam_mic_____01p02.wav,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_supercam/data_calibrated_audio/sol_00091/ascam_sol0091_0675019254_277_ca2_scam05091_heli_91_scam_mic_____01p02.xml,assets/audio/flight6-audible.mp3,assets/spectrograms/flight6-0-250hz.png,"arranque y varios ciclos cerca de 84 Hz; señal desaparece al alejarse","requiere corregir desfase de relojes antes de alinear con imágenes"
8,120,2021-06-21,167,25000,1,p02,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_supercam/data_calibrated_audio/sol_00120/ascam_sol0120_0677593685_336_ca2_scam06120_heli_________________01p02.wav,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_supercam/data_calibrated_audio/sol_00120/ascam_sol0120_0677593685_336_ca2_scam06120_heli_________________01p02.xml,assets/audio/flight8-audible.mp3,assets/spectrograms/flight8-0-250hz.png,"84 y 168 Hz sobre todo al inicio; viento y señales del rover","requiere corregir desfase de relojes antes de alinear con imágenes"
