flight,sol,date,recording_seconds,sample_rate_hz,channels,pds_version,pds_wav,pds_label_xml,preview_mp3,spectrogram,observed_signature,sync_status
4,69,2021-04-30,167,25000,1,p02,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_supercam/data_calibrated_audio/sol_00069/ascam_sol0069_0673066208_290_ca2_scam07069_heli_________________01p02.wav,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_supercam/data_calibrated_audio/sol_00069/ascam_sol0069_0673066208_290_ca2_scam07069_heli_________________01p02.xml,assets/audio/flight4-audible.mp3,assets/spectrograms/flight4-0-250hz.png,84 and 168 Hz; full flight and rotor shutdown,Clock offset must be corrected before alignment with images
5,76,2021-05-07,167,25000,1,p02,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_supercam/data_calibrated_audio/sol_00076/ascam_sol0076_0673687636_279_ca2_scam01076_heli_________________01p02.wav,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_supercam/data_calibrated_audio/sol_00076/ascam_sol0076_0673687636_279_ca2_scam01076_heli_________________01p02.xml,assets/audio/flight5-audible.mp3,assets/spectrograms/flight5-0-250hz.png,Continuous 84 Hz; weak 168 Hz; abrupt minima,Clock offset must be corrected before alignment with images
6,91,2021-05-22,167,25000,1,p02,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_supercam/data_calibrated_audio/sol_00091/ascam_sol0091_0675019254_277_ca2_scam05091_heli_91_scam_mic_____01p02.wav,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_supercam/data_calibrated_audio/sol_00091/ascam_sol0091_0675019254_277_ca2_scam05091_heli_91_scam_mic_____01p02.xml,assets/audio/flight6-audible.mp3,assets/spectrograms/flight6-0-250hz.png,Start-up and several cycles near 84 Hz; signal fades with distance,Clock offset must be corrected before alignment with images
8,120,2021-06-21,167,25000,1,p02,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_supercam/data_calibrated_audio/sol_00120/ascam_sol0120_0677593685_336_ca2_scam06120_heli_________________01p02.wav,https://pds-geosciences.wustl.edu/m2020/urn-nasa-pds-mars2020_supercam/data_calibrated_audio/sol_00120/ascam_sol0120_0677593685_336_ca2_scam06120_heli_________________01p02.xml,assets/audio/flight8-audible.mp3,assets/spectrograms/flight8-0-250hz.png,84 and 168 Hz mainly at the start; wind and rover signals,Clock offset must be corrected before alignment with images
