flight,map_start_s,timestamp_m_ss,precision_s,criterion,video_source
59,41.3,0:41.3,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
60,41.9,0:41.9,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
61,42.6,0:42.6,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
62,43.3,0:43.3,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
63,43.9,0:43.9,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
64,44.6,0:44.6,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
65,45.3,0:45.3,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
66,45.9,0:45.9,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
67,46.6,0:46.6,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
68,48.6,0:48.6,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
69,50.6,0:50.6,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
70,52.6,0:52.6,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
71,54.6,0:54.6,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
72,56.6,0:56.6,0.1,first_stable_frame_of_label,https://www.youtube.com/watch?v=U7DFnNimSfw
