vuelo;sol;fecha;perfil;origen;destino;distancia_m;altura_max_m;velocidad_max_ms;duracion_s;video_inicio_s;video_fin_s;muestras;referencias_visuales;iqr_referencias;cobertura_pct;textura;sombra_pct;cambio_visual;dispersion_sombra;puntuacion_visual;percentil_referencias;confianza_asignacion;referencia_conocida
28;423;April 29, 2022;Horizontal;Airfield S;Airfield T;418;10;3.6;152.4;378;393.2;20;16;8.5;33.333333333333336;0.7277023978531361;1.2505899008966495;10.714285850524902;0.944999214291583;16.2;16.2;Media;
29;465;June 11, 2022;Horizontal;Airfield T;Airfield U;179;10;5.5;66.6;393.2;407.92;20;1;10.5;0;0.31309662153944373;1.6454302343872897;12.5;27.727707653155502;0;0;Media;Vuelo realizado con solución de software para el inclinómetro inoperativo.
30;533;Aug. 20, 2022;Corto / casi vertical;Airfield U;;2;5;0.5;33.3;407.92;422.88;20;9;9.75;16.666666666666668;0.6158675998449326;1.5730690577316344;16.071428298950195;0.08375871233982232;7.8;8.5;Media;
31;550;Sept. 6, 2022;Horizontal;Airfield U;Airfield V;97;10;4.75;55.6;422.88;427.84;20;13.5;5.75;20.833333333333336;0.7264953339472413;1.6737454774264588;25;0.1134041561720343;13;14.1;Media;
32;561;Sept. 17, 2022;Horizontal;Airfield V;Airfield W;94;10;4.75;55.3;427.84;440.8;20;16;16.75;37.5;0.5845987936481833;1.316658801321378;29.166667938232422;35.38844398064339;17.3;16.2;Media;
33;567;Sept. 24, 2022;Horizontal;Airfield W;Airfield X;111;10;4.75;55.2;440.8;455.52;20;57;41.5;75;1.1378730181604624;1.3103665250904515;33.92856979370117;28.56379567179043;59.7;60.6;Media;
34;625;Nov. 22, 2022;Vertical;Airfield X;;0;5;0;18.3;455.52;467.04;20;66;49.25;83.33333333333333;1.3325415551662445;1.2002516910492371;52.272727966308594;24.936425661498017;75.3;74.6;Media;
35;635;Dec. 3, 2022;Horizontal;Airfield X;;15;14;3;52;467.04;477.84;20;49;30;79.16666666666666;1.4375310856848955;1.4818310523831997;75;13.008434834861166;59.4;57;Media;
36;642;Dec. 10, 2022;Horizontal;Airfield X;;110;10;5.5;60.5;477.84;481.52;20;22.5;14.75;50;0.9513419587165117;1.0696869592575116;125;26.68071293791029;25.7;24.6;Baja;
37;649;Dec. 17, 2022;Horizontal;Airfield X;Airfield Y;62;10;3;55.2;481.52;497.2;20;60.5;19.75;91.66666666666667;1.2988549657166004;1.307220386974988;40;15.436370782817804;70.6;62;Media;
38;667;Jan. 4, 2023;Horizontal;Airfield Y;Airfield Z;111;10;3.5;74.3;497.2;508.88;20;43.5;39;66.66666666666667;1.093798503279686;1.329243353783231;63.6363639831543;12.239100568007288;44.7;43.7;Media;
39;673;Jan. 11, 2023;Horizontal;Airfield Z;;140;10;4;78.7;508.88;513.04;20;39.5;11;58.333333333333336;1.0854989755898714;1.4786849142677365;87.5;14.451234807102361;35.6;35.2;Media;
40;681;Jan. 19, 2023;Horizontal;Airfield Z;Airfield Beta;178;10;3.2;91.6;513.04;543.76;20;102.5;90.25;83.33333333333333;1.2789641506969929;1.3764354255151803;22.413793563842773;13.876630368038438;90.1;95.8;Media;
41;689;Jan. 27, 2023;Horizontal;Airfield Beta;;183;10;3;109.1;543.76;560.64;20;42.5;28.75;66.66666666666667;0.9700869210064411;1.234859210319333;26.66666603088379;0.3459931995818085;42.7;40.8;Media;
42;697;Feb. 4, 2023;Horizontal;Airfield Beta;Airfield Gamma;248;10;3;137.2;560.64;566.96;20;157;41.25;100;1.6472713090479374;0.795972943212207;85;24.27629622126295;98.4;98.6;Media;
43;708;Feb. 16, 2023;Horizontal;Airfield Gamma;Airfield Epsilon;390;12;4;146;566.96;572.08;20;81;85.25;79.16666666666666;1.604709681123495;1.6029573698285353;112.5;21.978980337934463;77.6;83.1;Media;
44;711;Feb. 19, 2023;Horizontal;Airfield Epsilon;Airfield Zeta;334;12;3.5;141.3;572.08;575.92;20;64.5;32.25;79.16666666666666;1.7980598844587803;1.6218341985213152;112.5;20.409182025933372;70.2;72.5;Baja;
45;714;Feb. 22, 2023;Horizontal;Airfield Zeta;Airfield Eta;496;12;6;144.5;575.92;578.4;20;21;4.25;41.666666666666664;0.9439172223210335;1.4016045304388862;75;15.131352990963862;22.5;22.5;Baja;
46;717;Feb. 25, 2023;Horizontal;Airfield Eta;Airfield Theta;445;12;5.3;135.9;578.4;591.2;20;42.5;41.75;58.333333333333336;0.8969451300799847;0.9784489539090766;20.83333396911621;10.643474327637769;39.6;40.8;Media;
47;729;March 9, 2023;Horizontal;Airfield Theta;Airfield Iota;440;12;5.3;146.1;591.2;606.64;20;67.5;35.25;79.16666666666666;0.9780655149370432;1.066540821142048;17.85714340209961;29.973926018165088;72.7;76.1;Media;
48;741;March 21, 2023;Horizontal;Airfield Iota;Airfield Kappa;398;12;4.65;149.9;606.64;613.44;20;40.5;43.5;58.333333333333336;0.8604973554611206;1.415762151958471;37.5;0.15869750387143816;37.6;38;Media;
49;752;April 2, 2023;Horizontal;Airfield Kappa;Airfield Lambda;282;16;6.5;142.7;613.44;616;20;100.5;8;91.66666666666667;1.1096049100160599;1.1420481359131665;125;1.4132448818969876;92.3;93;Baja;
50;763;April 13, 2023;Horizontal;Airfield Lambda;Airfield Mu;322;18;4.6;145.7;616;622.64;20;46;26.75;66.66666666666667;0.9458624292165041;1.3607047349378636;37.5;0.7620033358483724;49.2;50;Media;
51;772;April 22, 2023;Horizontal;Airfield Mu;Airfield Nu;188;12;4;136.9;622.64;637.92;20;45;27.75;66.66666666666667;0.9216317441314459;1.4094698757275446;17.85714340209961;30.848005987435428;47.2;47.2;Media;
52;776;April 26, 2023;Horizontal;Airfield Nu;Airfield Xi;363;12;3.7;145;637.92;653.44;20;78.5;20.5;83.33333333333333;1.0921886656433344;1.123171307220387;21.428571701049805;34.77258064708938;79.2;80.3;Media;
53;860;July 22, 2023;Horizontal;Airfield Xi;Airfield Omicron;143;5;2.5;74.9;653.44;660.24;20;62;24.5;79.16666666666666;1.1091355700045824;1.2537360390121126;50;0.3717899343086137;66.3;66.9;Media;"Imágenes de navegación omitidas; el parche no bastó y se ordenó aterrizaje anticipado."
54;872;Aug. 3, 2023;Vertical;Airfield Omicron;;0;5;0;24.4;660.24;668.72;20;93.5;77.75;83.33333333333333;1.1714831460267305;1.217555450684285;43.75;37.696857799384816;86.1;90.1;Media;Salto vertical de diagnóstico tras el vuelo 53.
55;881;Aug. 12, 2023;Horizontal;Airfield Omicron;Airfield Pi;264;10;4.7;142.9;668.72;684.4;20;101.5;38.25;83.33333333333333;1.273317076265812;1.3528393896492057;21.428571701049805;0.445964107621763;89.1;94.4;Media;
56;894;Aug. 25, 2023;Horizontal;Airfield Pi;Airfield Rho;410;12;5.3;140.9;684.4;693.6;20;124;67.25;91.66666666666667;1.4658377971500158;1.2553091080698442;34.375;11.893127692397277;95.3;97.2;Media;
57;902;Sept. 3, 2023;Horizontal;Airfield Rho;;217;10;3;128.6;693.6;710.48;20;62;55.25;83.33333333333333;0.9430262260138988;0.5395626868019506;20;17.463970297034294;69.9;66.9;Media;
58;910;Sept. 11, 2023;Horizontal;Airfield Rho;Airfield Sigma;174;10;3;106.8;710.48;725.36;20;8.5;41.25;16.666666666666668;0.7300600642338395;0.3020292590844738;15.384615898132324;36.48244911855757;6.3;6.3;Media;
59;915;Sept. 16, 2023;Vertical;Airfield Sigma;;0;20;0;142.6;725.36;740.64;20;22.5;41;45.83333333333333;0.8400845807045698;0.8494572911750826;16.071428298950195;1.2289139081793399;24.4;24.6;Media;Vuelo vertical de ingeniería a 20 m.
60;924;Sept. 25, 2023;Horizontal;Airfield Sigma;Airfield Tau;340;16;8;132.8;740.64;755.2;20;46.5;42.25;66.66666666666667;0.8396732620894909;0.4483246814535158;17.307693481445312;35.473399231171975;51.1;52.8;Media;
61;933;Oct. 5, 2023;Vertical;Airfield Tau;;0;24;0;129.5;755.2;769.92;20;39;25.25;50;0.8427026215940714;0.7157464212678937;8.928571701049805;0.31931203862374036;32.1;33.8;Media;Vuelo vertical de ingeniería a 24 m.
62;940;Oct. 12, 2023;Horizontal;Airfield Tau;;268;18;10;121.1;769.92;784.64;20;63.5;28;75;0.9469854645431042;0.39955954066383514;25;35.753782121039315;66.6;70.4;Media;
63;947;Oct. 19, 2023;Horizontal;Airfield Tau;Airfield Upsilon;579;12;6.3;142.6;784.64;799.28;20;75;24.5;91.66666666666667;0.9474537800997496;0.6024854491112159;11.538461685180664;16.645351417540983;81.5;77.5;Media;
64;954;Oct. 27, 2023;Horizontal;Airfield Upsilon;Airfield Phi;411;12;5.8;139.1;799.28;813.68;20;83.5;24.5;83.33333333333333;0.9373905137181282;0.1698914582350165;17.307693481445312;38.14645475200203;83.7;86.6;Media;
65;960;Nov. 2, 2023;Horizontal;Airfield Phi;;7;10;1;48;813.68;829.68;20;158.5;91.5;100;1.5451695304363966;0.38697498820198206;24.999998092651367;2.8840832302997166;99.4;100;Media;
66;961;Nov. 3, 2023;Corto / casi vertical;Airfield Phi;;1;3;1;23;829.68;838.4;20;49;67;83.33333333333333;0.9065223857760429;0.555293377379267;34.375;1.6390745504366235;63;57;Media;
67;990;Dec. 2, 2023;Horizontal;Airfield Phi;Airfield Chi;393;12;5.3;135.9;838.4;845.2;20;19;75.75;33.333333333333336;0.8245435077697039;0.3114676734308636;41.66666793823242;36.83771977662986;18.7;19.7;Media;
68;1003;Dec. 15, 2023;Horizontal;Airfield Chi;;702;16;10;131.1;845.2;860.24;20;17.5;5.5;37.5;0.7685504155233502;0.6575428661318232;10.714285850524902;30.38353677229269;18.7;18.3;Media;Ensayo rápido: velocidad máxima oficial de 10 m/s.
69;1007;Dec. 20, 2023;Horizontal;Airfield Chi;;705;16;10;135.4;860.24;867.2;20;11;2;16.666666666666668;0.7251156726852059;0.9532798489853704;8.333333969116211;16.53297491369092;8.8;9.9;Media;Segundo vuelo largo y rápido: velocidad máxima oficial de 10 m/s.
70;1009;Dec. 22, 2023;Horizontal;Airfield Chi;;260;12;3;132.9;867.2;875.44;20;7.5;10.25;12.5;0.7675414439290762;0.813276702847255;42.85714340209961;22.966638553516123;2.8;2.8;Media;"Terreno arenoso con pocas referencias; los registros indicaron descenso de rasgos resueltos."
71;1024;Jan. 6, 2024;Neto 0 / ensayo;Airfield Chi;;0;12;7;35;875.44;884.24;20;12;9.5;25;0.764722703024745;0.7755230454616957;22.22222137451172;15.301520388211134;11.9;11.3;Media;"Terminación temprana; los registros siguieron mostrando pocas referencias visuales."
72;1035;Jan. 18, 2024;Vertical;Airfield Chi;;0;12;0;32;884.24;901.84;20;8;16;20.833333333333336;0.7118197390809655;0.9674374705049551;19.117647171020508;28.48412964703276;6.1;4.2;Media;"Último salto vertical; pérdida de referencias visuales y aterrizaje duro."
